month,member_casual,num_rides_by_month
5,casual,363888
5,member,392241
2,casual,370680
2,member,358913
3,casual,442056
7,casual,106898
7,member,253027
4,casual,412398
4,member,391569
9,casual,18520
10,casual,21416
8,casual,69738
12,casual,126417
11,casual,89881
6,casual,257242
1,casual,256916
9,member,85250
10,member,94193
8,member,177802
12,member,244832
11,member,194160
3,member,380354
6,member,373984
1,member,274717
