member_casual,day_of_week,num_of_rides
casual,1,476943
member,1,388006
casual,4,284839
casual,7,558554
member,4,506939
member,7,442715
member,5,485825
casual,2,289000
member,2,445618
casual,3,270520
member,6,453272
casual,6,358171
casual,5,298023
member,3,498667
